eventId,userId,hintType,eventType,action,modalType,challengeId,exerciseId,exerciseIndex,attemptNumber,timestamp
nPGqyWrg86bRTuHBhpPi,71T5kFjbTZVnfRRU6AljJ9iDiiC3,visual,ui,modal_open,visual,challenge-03,,,,10:45:53
nQ5anIqdc3fAJCsY00dt,V28nGpkguqbckNGLX5670RFuNxG2,kinesthetic,hint,kinesthetic_run,,challenge-01,challenge-01-kinesthetic-1,0.0,1.0,06:07:02
nQHhKmYjaARso6wWkwwl,Xz6wsw1XsxTP86aTTL7fwCngNwZ2,visual,ui,modal_open,visual,challenge-03,,,,08:33:54
nVOrToGFJAz7sV2KNvzq,BMoJ0ooDLgc8USK7WVIAQRB0J433,kinesthetic,hint,kinesthetic_run,,challenge-01,challenge-01-kinesthetic-3,2.0,1.0,21:22:45
nZajHy5ALqQ11fCE3ekN,qmaXfPGzvsT2wS1h2zEJuPT4EeH2,visual,ui,modal_open,visual,challenge-02,,,,21:14:39
na3YdfFjQ5OWPnfG2NLd,oj4E38eqfWZ5Qa3LbNyRp1nnM303,visual,ui,modal_open,visual,challenge-02,,,,09:36:03
nb7HYmB71syZH6qdA2W8,kFDXk5bqmdXKconNad9pDdmRDUH2,reading,ui,modal_open,read,challenge-02,,,,10:04:36
nbpeJLdvjXRv8a6V9en5,Z8j6DEYBkuTgFmkegoTIKpTvCcl2,kinesthetic,hint,kinesthetic_run,,challenge-03,challenge-03-kinesthetic-1,0.0,1.0,18:39:22
nfODppwcUYGqICthNHA0,e0QPOPuIN9c2S1v9AG1wSRVqcrI3,reading,ui,modal_open,read,challenge-04,,,,08:58:55
njKMGK7OmwyXHliCJcwS,S7FtLuMd2YZ15UZAwmQM9NB1aMH3,visual,ui,modal_open,visual,challenge-03,,,,16:39:07
nkBkvSpS6wo8qKUcmn3P,veogvd0RUXcijdmOVT8blk7TpEk1,kinesthetic,hint,kinesthetic_run,,challenge-03,challenge-03-kinesthetic-1,0.0,1.0,19:22:27
nkzud16LT9LlQNDQHyEh,GdnIy8sWnnSCctzcmgY42n9TZbS2,visual,ui,modal_open,visual,challenge-01,,,,15:45:47
nloJxyooEMd4PaYIYXct,C6Ccvx84rmhhMsknuMMmSwJMewY2,kinesthetic,hint,kinesthetic_run,,challenge-02,challenge-02-kinesthetic-2,1.0,1.0,06:39:50
np9MFufwKIXL51O0vAl0,U0sCNMUIIIY4gRfxGBcbvqks1sF3,visual,ui,modal_open,visual,challenge-02,,,,03:46:27
nq3jQVRTO3rjgVk5vUtl,QrjvafGaGDZUSx9UvBf14fNUUaB2,aural,hint,aural_used,,challenge-03,,,,19:28:18
nrUJpkwPLOAeczTdLwxe,BR3bUdPEUSZDLTI8RzmkSmb4jZF2,reading,ui,modal_open,read,challenge-02,,,,11:28:14
nrj3QO8ksNUca1eMH8tc,DnkAenl2GEbhjW7EyPYXMDGeFdY2,kinesthetic,hint,kinesthetic_run,,challenge-01,challenge-01-kinesthetic-1,0.0,1.0,07:33:21
nsoACRz1CA5teq7yBh2l,vgWUYlVDhzSFdjFPa6SpfmAXXvF3,kinesthetic,hint,kinesthetic_run,,challenge-03,challenge-03-kinesthetic-3,2.0,1.0,16:53:52
ny4ax5H6FfpD2v6TeW0u,IYWLW15WUHeFIvYrS0R1Gzrwn0U2,visual,ui,modal_open,visual,challenge-01,,,,19:02:30
o2SCP8su4aRHDFHneBLU,dDYRP6XvfQMJ1qDJ5zEo7uUVdmw1,visual,ui,modal_open,visual,challenge-04,,,,16:43:08
o2eblql5feX84hxwI4sY,dvdCoJqbFfcxP1rvUeJWot86Wiv1,kinesthetic,hint,kinesthetic_run,,challenge-04,challenge-04-kinesthetic-2,1.0,1.0,08:51:56
o66YXs8L314I215HARMq,oNvGORy481UCKbgYGr9XaTrHipy1,kinesthetic,hint,kinesthetic_run,,challenge-01,challenge-01-kinesthetic-1,0.0,1.0,17:36:40
oB0TWaGdB4lTffoKYNY0,hWXtFxXLsWWxWNoDTFWRGW0Uzcg1,aural,hint,aural_used,,challenge-01,,,,10:23:48
oFnJZLrM4QsWaTMJtCLF,X2xnAKU1DCOFPaOJrogWzg3Qcxr1,reading,ui,modal_open,read,challenge-01,,,,15:25:30
oIOHPVeYHL6J8twqrway,yXACdu2glPcNkmdfEJuc5Byyo0l2,visual,ui,modal_open,visual,challenge-02,,,,06:13:51
oK0oQA7p0qVBnc1CYXvG,7ATQDY2WgjcKgihpJBL1JCHyVCu2,visual,ui,modal_open,visual,challenge-04,,,,13:35:42
oS1xedaLkXMY8Oh8msFM,veogvd0RUXcijdmOVT8blk7TpEk1,aural,hint,aural_used,,challenge-01,,,,18:46:34
oSPJJNbYZxMINZAlv86e,SpkysL7WcUgpILEQovruJSrPCV43,visual,ui,modal_open,visual,challenge-02,,,,07:39:49
oapnYJRPvz8pAlix5Qn6,suG5O6R21eMDKumAII2D3rom6TQ2,kinesthetic,hint,kinesthetic_run,,challenge-01,challenge-01-kinesthetic-1,0.0,1.0,08:37:51
odgAcyG2mypN5eJl9dM8,lvNWs9Y5cCcELhjX7lcOKqkQhuI3,visual,ui,modal_open,visual,challenge-02,,,,08:57:06
oeMY5cPWn2UNnl4JgtJn,EduFuSCFqHgn1bYFL9sG2tKYl3P2,reading,ui,modal_open,read,challenge-01,,,,07:00:06
ofQj4G2w6ss87ZGePMct,nmTYkEGfwMNEy4zKEpGBXwU5cWZ2,visual,ui,modal_open,visual,challenge-01,,,,18:33:27
oi07I9lPTJXBkFkIYxHk,Xz6wsw1XsxTP86aTTL7fwCngNwZ2,kinesthetic,hint,kinesthetic_run,,challenge-03,challenge-03-kinesthetic-1,0.0,1.0,08:32:03
oij4s2Dzccp5CaMDfIxw,7ATQDY2WgjcKgihpJBL1JCHyVCu2,kinesthetic,hint,kinesthetic_run,,challenge-01,challenge-01-kinesthetic-1,0.0,1.0,13:48:16
ojklzCRHyq7l1Iru7v4l,Zv8ZoFLWVHZwq2Raorsu0f5VBpI2,reading,ui,modal_open,read,challenge-01,,,,15:34:59
olDdZBB1qT9dVnLGnMaa,USpySgtjrtQluhGvGY1x6htXlub2,kinesthetic,hint,kinesthetic_run,,challenge-02,challenge-02-kinesthetic-1,0.0,1.0,12:19:55
om76ifHXvv3yggwsp47a,yXACdu2glPcNkmdfEJuc5Byyo0l2,reading,ui,modal_open,read,challenge-03,,,,07:47:06
opsmT1g1nY69SUE57Ac4,eJ9UGbw7ssedUP4iAbhbCoTex9D2,visual,ui,modal_open,visual,challenge-02,,,,13:01:48
or3O0jsQz46XEgy2EQCv,YHkpceIBY5WHjrDXZISqYsrehdZ2,visual,ui,modal_open,visual,challenge-03,,,,16:32:42
os60uM1qO07PG8A6ohd8,USpySgtjrtQluhGvGY1x6htXlub2,reading,ui,modal_open,read,challenge-02,,,,11:57:54
ovTyoi4oUUw7xh9NptoP,vLlWkjvqyFPgjAPK59lecUxyi8U2,reading,ui,modal_open,read,challenge-04,,,,08:59:30
ozRXjwXStU7RD0Akv0YK,7ATQDY2WgjcKgihpJBL1JCHyVCu2,visual,ui,modal_open,visual,challenge-02,,,,13:43:25
ozi6WO9xe2Lim25x5ZOE,JFdJEebP0QdhEV4q1XE5Js2aqzb2,reading,ui,modal_open,read,challenge-03,,,,10:55:41
p0Ncm3g6YkY4tuXz4INV,Ow1hVmRhyfcBf4b5wYZB4WhhPe42,visual,ui,modal_open,visual,challenge-01,,,,14:53:21
p5MdIfBGJA3zRaAaQhHX,KORXMGlTHLPJBxQADl2NFEsJxCA3,reading,ui,modal_open,read,challenge-02,,,,11:39:48
pFb0OHW9deVExRKg2srM,DnkAenl2GEbhjW7EyPYXMDGeFdY2,reading,ui,modal_open,read,challenge-03,,,,07:06:39
pMvSCvotswJsAoqIVMH1,8X1U7kLmdWT6AlLSHuIDOxCHoLG3,visual,ui,modal_open,visual,challenge-01,,,,08:24:44
pO0xPTnqG2eHByW4KnuT,M8IOfNHJ3DPsU6GBcaI1irL29S13,reading,ui,modal_open,read,challenge-03,,,,05:03:34
